Date,Province,Vac Allocated AstraZeneca 1,Vac Allocated AstraZeneca 2,Vac Allocated Sinovac 1,Vac Allocated Sinovac 2,Vac Given,Vac Given 1 Cum,Vac Given 2 %,Vac Given 2 Cum,Vac Given AstraZeneca,Vac Given AstraZeneca Cum,Vac Given Cum,Vac Given Sinopharm,Vac Given Sinopharm Cum,Vac Given Sinovac,Vac Given Sinovac Cum,Vac Group Medical Staff 1 Cum,Vac Group Medical Staff 2 Cum,Vac Group Other Frontline Staff 1 Cum,Vac Group Other Frontline Staff 2 Cum,Vac Group Over 60 1 Cum,Vac Group Over 60 2 Cum,Vac Group Risk: Disease 1 Cum,Vac Group Risk: Disease 2 Cum,Vac Group Risk: Location 1 Cum,Vac Group Risk: Location 2 Cum
2021-03-09,Phuket,0.0,0.0,4000.0,0.0,256.0,1625.0,0.0,0.0,0.0,0.0,1879.0,0.0,0.0,256.0,1879.0,1446.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,Ratchaburi,0.0,0.0,2520.0,0.0,4.0,1260.0,0.0,0.0,0.0,0.0,1230.0,0.0,0.0,4.0,1230.0,1111.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,Samut Prakan,0.0,0.0,6000.0,0.0,78.0,2539.0,0.0,0.0,0.0,0.0,2580.0,0.0,0.0,78.0,2580.0,1918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,Samut Sakhon,0.0,0.0,35080.0,0.0,1041.0,9636.0,0.0,0.0,0.0,2.0,9599.0,0.0,0.0,1041.0,9597.0,7428.0,0.0,1941.0,0.0,230.0,0.0,0.0,0.0,37.0,0.0
2021-03-09,Samut Songkhram,0.0,0.0,2000.0,0.0,48.0,1189.0,0.0,0.0,0.0,0.0,985.0,0.0,0.0,48.0,985.0,555.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,Suphan Buri,,,,,,,,,,0.0,1.0,,0.0,,1.0,,,,,,,,,,
2021-03-09,Surat Thani,0.0,0.0,2520.0,0.0,64.0,1260.0,0.0,0.0,0.0,0.0,1260.0,0.0,0.0,64.0,1260.0,561.0,0.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,Tak,0.0,0.0,5000.0,0.0,259.0,1568.0,0.0,0.0,0.0,0.0,1569.0,0.0,0.0,259.0,1569.0,1277.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-10,Bangkok,0.0,0.0,33600.0,0.0,287.0,3976.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,287.0,4096.0,2417.0,0.0,1559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-10,Chiang Mai,0.0,0.0,3520.0,0.0,33.0,1699.0,0.0,0.0,0.0,0.0,1705.0,0.0,0.0,33.0,1705.0,1499.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-10,Chonburi,0.0,0.0,4720.0,0.0,,2359.0,0.0,0.0,,0.0,2360.0,,0.0,,2360.0,2296.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-10,Nakhon Pathom,0.0,0.0,3560.0,0.0,48.0,1736.0,0.0,0.0,0.0,0.0,1756.0,0.0,0.0,48.0,1756.0,1253.0,0.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-10,Nonthaburi,0.0,0.0,6000.0,0.0,136.0,2680.0,0.0,0.0,0.0,10.0,2698.0,0.0,0.0,136.0,2688.0,2639.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-10,Pathum Thani,0.0,0.0,8000.0,0.0,169.0,2467.0,0.0,0.0,0.0,0.0,2445.0,0.0,0.0,169.0,2445.0,1648.0,0.0,551.0,0.0,258.0,0.0,0.0,0.0,10.0,0.0
2021-03-10,Phuket,0.0,0.0,4000.0,0.0,126.0,2000.0,0.0,0.0,0.0,0.0,2005.0,0.0,0.0,126.0,2005.0,1819.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-10,Ratchaburi,0.0,0.0,2520.0,0.0,1.0,1260.0,0.0,0.0,0.0,0.0,1231.0,0.0,0.0,1.0,1231.0,1111.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-10,Samut Prakan,0.0,0.0,6000.0,0.0,88.0,2631.0,0.0,0.0,0.0,0.0,2668.0,0.0,0.0,88.0,2668.0,1918.0,0.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-10,Samut Sakhon,0.0,0.0,35080.0,0.0,1405.0,11854.0,0.0,0.0,0.0,2.0,11004.0,0.0,0.0,1405.0,11002.0,8471.0,0.0,2556.0,0.0,422.0,0.0,0.0,0.0,405.0,0.0
2021-03-10,Samut Songkhram,0.0,0.0,2000.0,0.0,10.0,1000.0,0.0,0.0,0.0,0.0,995.0,0.0,0.0,10.0,995.0,812.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
